pais,quantidade,valor,ano,categoria
Chile,1560,4860,1993,Espumantes
Chile,4590,13224,1994,Espumantes
Chile,24237,73649,1995,Espumantes
Chile,26686,37785,1996,Espumantes
Chile,2565,13680,1997,Espumantes
Chile,7877,20030,1998,Espumantes
Chile,18020,65480,1999,Espumantes
Chile,11250,31550,2000,Espumantes
Chile,15695,44425,2001,Espumantes
Chile,6300,20323,2002,Espumantes
Chile,16200,39459,2003,Espumantes
Chile,25920,48350,2004,Espumantes
Chile,38290,92150,2005,Espumantes
Chile,29806,93696,2006,Espumantes
Chile,49400,159012,2007,Espumantes
Chile,84673,234038,2008,Espumantes
Chile,39533,165731,2009,Espumantes
Chile,68562,243004,2010,Espumantes
Chile,66639,248691,2011,Espumantes
Chile,137790,484791,2012,Espumantes
Chile,123026,478646,2013,Espumantes
Chile,133935,599993,2014,Espumantes
Chile,236342,838250,2015,Espumantes
Chile,117678,523242,2016,Espumantes
Chile,304391,1350744,2017,Espumantes
Chile,316293,1312445,2018,Espumantes
Chile,233064,912613,2019,Espumantes
Chile,253225,775535,2020,Espumantes
Chile,232948,686466,2021,Espumantes
Chile,342625,959421,2022,Espumantes
Chile,592991,1952709,2023,Espumantes
Chile,718033,2187643,2024,Espumantes
Croácia,0,0,1970,Espumantes
Croácia,0,0,1971,Espumantes
Croácia,0,0,1972,Espumantes
Croácia,0,0,1973,Espumantes
Croácia,0,0,1974,Espumantes
Croácia,0,0,1975,Espumantes
Croácia,0,0,1976,Espumantes
Croácia,0,0,1977,Espumantes
Croácia,0,0,1978,Espumantes
Croácia,0,0,1979,Espumantes
Croácia,0,0,1980,Espumantes
Croácia,0,0,1981,Espumantes
Croácia,0,0,1982,Espumantes
Croácia,0,0,1983,Espumantes
Croácia,0,0,1984,Espumantes
Croácia,0,0,1985,Espumantes
Croácia,0,0,1986,Espumantes
Croácia,0,0,1987,Espumantes
Croácia,0,0,1988,Espumantes
Croácia,0,0,1989,Espumantes
Croácia,0,0,1990,Espumantes
Croácia,0,0,1991,Espumantes
Croácia,0,0,1992,Espumantes
Croácia,0,0,1993,Espumantes
Croácia,0,0,1994,Espumantes
Croácia,0,0,1995,Espumantes
Croácia,0,0,1996,Espumantes
Croácia,0,0,1997,Espumantes
Croácia,0,0,1998,Espumantes
Croácia,0,0,1999,Espumantes
Croácia,0,0,2000,Espumantes
Croácia,0,0,2001,Espumantes
Croácia,0,0,2002,Espumantes
Croácia,0,0,2003,Espumantes
Croácia,0,0,2004,Espumantes
Croácia,0,0,2005,Espumantes
Croácia,0,0,2006,Espumantes
Croácia,0,0,2007,Espumantes
Croácia,0,0,2008,Espumantes
Croácia,0,0,2009,Espumantes
Croácia,0,0,2010,Espumantes
Croácia,0,0,2011,Espumantes
Croácia,0,0,2012,Espumantes
Croácia,0,0,2013,Espumantes
Croácia,0,0,2014,Espumantes
Croácia,225,483,2015,Espumantes
Croácia,0,0,2016,Espumantes
Croácia,0,0,2017,Espumantes
Croácia,0,0,2018,Espumantes
Croácia,0,0,2019,Espumantes
Croácia,0,0,2020,Espumantes
Croácia,0,0,2021,Espumantes
Croácia,0,0,2022,Espumantes
Croácia,0,0,2023,Espumantes
Croácia,0,0,2024,Espumantes
Cuba,0,0,1970,Espumantes
Cuba,0,0,1971,Espumantes
Cuba,0,0,1972,Espumantes
Cuba,0,0,1973,Espumantes
Cuba,0,0,1974,Espumantes
Cuba,0,0,1975,Espumantes
Cuba,0,0,1976,Espumantes
Cuba,0,0,1977,Espumantes
Cuba,0,0,1978,Espumantes
Cuba,0,0,1979,Espumantes
Cuba,0,0,1980,Espumantes
Cuba,0,0,1981,Espumantes
Cuba,0,0,1982,Espumantes
Cuba,0,0,1983,Espumantes
Cuba,0,0,1984,Espumantes
Cuba,0,0,1985,Espumantes
Cuba,0,0,1986,Espumantes
Cuba,0,0,1987,Espumantes
Cuba,0,0,1988,Espumantes
Cuba,0,0,1989,Espumantes
Cuba,0,0,1990,Espumantes
Cuba,0,0,1991,Espumantes
Cuba,0,0,1992,Espumantes
Cuba,0,0,1993,Espumantes
Cuba,0,0,1994,Espumantes
Cuba,0,0,1995,Espumantes
Cuba,0,0,1996,Espumantes
Cuba,0,0,1997,Espumantes
Cuba,0,0,1998,Espumantes
Cuba,0,0,1999,Espumantes
Cuba,0,0,2000,Espumantes
Cuba,0,0,2001,Espumantes
Cuba,0,0,2002,Espumantes
Cuba,0,0,2003,Espumantes
Cuba,0,0,2004,Espumantes
Cuba,0,0,2005,Espumantes
Cuba,0,0,2006,Espumantes
Cuba,0,0,2007,Espumantes
Cuba,0,0,2008,Espumantes
Cuba,0,0,2009,Espumantes
Cuba,0,0,2010,Espumantes
Cuba,0,0,2011,Espumantes
Cuba,0,0,2012,Espumantes
Cuba,0,0,2013,Espumantes
Cuba,0,0,2014,Espumantes
Cuba,29,243,2015,Espumantes
Cuba,0,0,2016,Espumantes
Cuba,0,0,2017,Espumantes
Cuba,0,0,2018,Espumantes
Cuba,0,0,2019,Espumantes
Cuba,0,0,2020,Espumantes
Cuba,0,0,2021,Espumantes
Cuba,0,0,2022,Espumantes
Cuba,0,0,2023,Espumantes
Cuba,0,0,2024,Espumantes
Emirados Árabes Unidos,0,0,1970,Espumantes
Emirados Árabes Unidos,0,0,1971,Espumantes
Emirados Árabes Unidos,0,0,1972,Espumantes
Emirados Árabes Unidos,0,0,1973,Espumantes
Emirados Árabes Unidos,0,0,1974,Espumantes
Emirados Árabes Unidos,0,0,1975,Espumantes
Emirados Árabes Unidos,0,0,1976,Espumantes
Emirados Árabes Unidos,0,0,1977,Espumantes
Emirados Árabes Unidos,0,0,1978,Espumantes
Emirados Árabes Unidos,0,0,1979,Espumantes
